FileName: 430005.txt, datasize: 430005.0, network3g:3 , method: def0, energy: CPU_EC: 19431 Wifi_EC: 59006Total: 78437
FileName: 440005.txt, datasize: 440005.0, network3g:3 , method: def0, energy: CPU_EC: 19636 Wifi_EC: 59348Total: 78984
FileName: 450005.txt, datasize: 450005.0, network3g:3 , method: def0, energy: CPU_EC: 19842 Wifi_EC: 59690Total: 79532
FileName: 460005.txt, datasize: 460005.0, network3g:3 , method: def0, energy: CPU_EC: 20033 Wifi_EC: 60732Total: 80765
FileName: 470005.txt, datasize: 470005.0, network3g:3 , method: def0, energy: CPU_EC: 20232 Wifi_EC: 61424Total: 81656
FileName: 480005.txt, datasize: 480005.0, network3g:3 , method: def0, energy: CPU_EC: 20437 Wifi_EC: 61766Total: 82203
FileName: 490005.txt, datasize: 490005.0, network3g:3 , method: def0, energy: CPU_EC: 20653 Wifi_EC: 62108Total: 82761
FileName: 500005.txt, datasize: 500005.0, network3g:3 , method: def0, energy: CPU_EC: 20866 Wifi_EC: 62798Total: 83664
FileName: 510005.txt, datasize: 510005.0, network3g:3 , method: def0, energy: CPU_EC: 21075 Wifi_EC: 63139Total: 84214
FileName: 520005.txt, datasize: 520005.0, network3g:3 , method: def0, energy: CPU_EC: 21307 Wifi_EC: 63480Total: 84787
FileName: 530005.txt, datasize: 530005.0, network3g:3 , method: def0, energy: CPU_EC: 21467 Wifi_EC: 64171Total: 85638
FileName: 540005.txt, datasize: 540005.0, network3g:3 , method: def0, energy: CPU_EC: 21629 Wifi_EC: 64512Total: 86141
FileName: 550005.txt, datasize: 550005.0, network3g:3 , method: def0, energy: CPU_EC: 21793 Wifi_EC: 64853Total: 86646
FileName: 560005.txt, datasize: 560005.0, network3g:3 , method: def0, energy: CPU_EC: 21957 Wifi_EC: 65193Total: 87150
FileName: 570005.txt, datasize: 570005.0, network3g:3 , method: def0, energy: CPU_EC: 22121 Wifi_EC: 65883Total: 88004
FileName: 580005.txt, datasize: 580005.0, network3g:3 , method: def0, energy: CPU_EC: 22289 Wifi_EC: 66572Total: 88861
FileName: 590005.txt, datasize: 590005.0, network3g:3 , method: def0, energy: CPU_EC: 22453 Wifi_EC: 66912Total: 89365
FileName: 600005.txt, datasize: 600005.0, network3g:3 , method: def0, energy: CPU_EC: 22622 Wifi_EC: 67252Total: 89874
FileName: 1000005.txt, datasize: 1000005.0, network3g:3 , method: def0, energy: CPU_EC: 22946 Wifi_EC: 67585Total: 90531
FileName: 1250005.txt, datasize: 1250005.0, network3g:3 , method: def0, energy: CPU_EC: 22946 Wifi_EC: 68263Total: 91209
FileName: 1500005.txt, datasize: 1500005.0, network3g:3 , method: def0, energy: CPU_EC: 23225 Wifi_EC: 68938Total: 92163
FileName: 1750005.txt, datasize: 1750005.0, network3g:3 , method: def0, energy: CPU_EC: 23225 Wifi_EC: 69259Total: 92484
FileName: 2000005.txt, datasize: 2000005.0, network3g:3 , method: def0, energy: CPU_EC: 23515 Wifi_EC: 70276Total: 93791
FileName: 2250005.txt, datasize: 2250005.0, network3g:3 , method: def0, energy: CPU_EC: 23844 Wifi_EC: 70939Total: 94783
FileName: 2500005.txt, datasize: 2500005.0, network3g:3 , method: def0, energy: CPU_EC: 24194 Wifi_EC: 71598Total: 95792
FileName: 2750005.txt, datasize: 2750005.0, network3g:3 , method: def0, energy: CPU_EC: 24551 Wifi_EC: 72253Total: 96804
FileName: 185skiis-template.bmp, datasize: 810054.0, network3g:3 , method: def1, energy: CPU_EC: 24752 Wifi_EC: 72594Total: 97346
FileName: 0001_259.jpg, datasize: 628254.0, network3g:3 , method: def1, energy: CPU_EC: 24962 Wifi_EC: 72936Total: 97898
FileName: 10-cougar1.bmp, datasize: 540178.0, network3g:3 , method: def1, energy: CPU_EC: 25144 Wifi_EC: 73629Total: 98773
FileName: 0023ae989701101318352d.bmp, datasize: 322554.0, network3g:3 , method: def1, energy: CPU_EC: 25295 Wifi_EC: 73987Total: 99282
FileName: 200_s.gif, datasize: 33042.0, network3g:3 , method: def1, energy: CPU_EC: 25342 Wifi_EC: 74336Total: 99678
FileName: 221.bmp, datasize: 921654.0, network3g:3 , method: def1, energy: CPU_EC: 25571 Wifi_EC: 75027Total: 100598
FileName: 800px-Ocean_dumping_of_radioactive_waste_in_Atlantic_Ocean.png, datasize: 738164.0, network3g:3 , method: def1, energy: CPU_EC: 25840 Wifi_EC: 75364Total: 101204
FileName: 2973ac1a9f996fe733906c3f7bc84779.png, datasize: 2147098.0, network3g:3 , method: def1, energy: CPU_EC: 26273 Wifi_EC: 76028Total: 102301
FileName: 132101970436880.bmp, datasize: 763030.0, network3g:3 , method: def1, energy: CPU_EC: 26468 Wifi_EC: 76370Total: 102838
FileName: 1462610882824795971.gif, datasize: 3059921.0, network3g:3 , method: def1, energy: CPU_EC: 27369 Wifi_EC: 77019Total: 104388
FileName: amazing-beautiful-beauty-blue-medium.jpg, datasize: 101915.0, network3g:3 , method: def1, energy: CPU_EC: 27416 Wifi_EC: 77367Total: 104783
FileName: antarctica-km-south-pole-eternal-ice-76968-medium.jpeg, datasize: 63023.0, network3g:3 , method: def1, energy: CPU_EC: 27491 Wifi_EC: 77715Total: 105206
FileName: aoraki-mount-cook-mountain-new-zealand-68695-medium.jpeg, datasize: 80055.0, network3g:3 , method: def1, energy: CPU_EC: 27566 Wifi_EC: 78063Total: 105629
FileName: B-1B-over-the-pacific-ocean-2016052814.png, datasize: 700635.0, network3g:3 , method: def1, energy: CPU_EC: 27830 Wifi_EC: 78750Total: 106580
FileName: b77d48f566d2bdc501eed5da057a7f14.jpg, datasize: 502554.0, network3g:3 , method: def1, energy: CPU_EC: 27990 Wifi_EC: 79094Total: 107084
FileName: Bay-area2.bmp, datasize: 833458.0, network3g:3 , method: def1, energy: CPU_EC: 28311 Wifi_EC: 79786Total: 108097
FileName: bigsavina.bmp, datasize: 656694.0, network3g:3 , method: def1, energy: CPU_EC: 28536 Wifi_EC: 80481Total: 109017
FileName: Black-Mountain-Golf-Club.bmp, datasize: 1536054.0, network3g:3 , method: def1, energy: CPU_EC: 28930 Wifi_EC: 80811Total: 109741
FileName: bobcat_3.bmp, datasize: 842154.0, network3g:3 , method: def1, energy: CPU_EC: 29097 Wifi_EC: 81154Total: 110251
FileName: climbing 2.bmp, datasize: 5760054.0, network3g:3 , method: def1, energy: CPU_EC: 30083 Wifi_EC: 82155Total: 112238
FileName: color.gif, datasize: 642798.0, network3g:3 , method: def1, energy: CPU_EC: 30325 Wifi_EC: 82843Total: 113168
FileName: Cougar.bmp, datasize: 124136.0, network3g:3 , method: def1, energy: CPU_EC: 30420 Wifi_EC: 83191Total: 113611
FileName: crystal-mountain.png, datasize: 334328.0, network3g:3 , method: def1, energy: CPU_EC: 30571 Wifi_EC: 83535Total: 114106
FileName: download (1).jpeg, datasize: 5024.0, network3g:3 , method: def1, energy: CPU_EC: 30591 Wifi_EC: 83884Total: 114475
FileName: download.jpeg, datasize: 8486.0, network3g:3 , method: def1, energy: CPU_EC: 30625 Wifi_EC: 84233Total: 114858
FileName: eagle-heights-mountain.jpg, datasize: 967158.0, network3g:3 , method: def1, energy: CPU_EC: 30879 Wifi_EC: 84574Total: 115453
FileName: Exposed to sky surveying the strand Screenshot.bmp, datasize: 8294454.0, network3g:3 , method: def1, energy: CPU_EC: 31578 Wifi_EC: 85560Total: 117138
FileName: Fish-rain-from-the-sky.gif, datasize: 1961420.0, network3g:3 , method: def1, energy: CPU_EC: 32011 Wifi_EC: 86227Total: 118238
FileName: giphy (1).gif, datasize: 8077805.0, network3g:3 , method: def1, energy: CPU_EC: 33547 Wifi_EC: 87844Total: 121391
FileName: giphy.gif, datasize: 1120184.0, network3g:3 , method: def1, energy: CPU_EC: 33876 Wifi_EC: 88175Total: 122051
FileName: Hovenweep-featured-700px-460px.png, datasize: 530975.0, network3g:3 , method: def1, energy: CPU_EC: 34237 Wifi_EC: 88516Total: 122753
FileName: images (1).jpeg, datasize: 3973.0, network3g:3 , method: def1, energy: CPU_EC: 34257 Wifi_EC: 88865Total: 123122
FileName: images (1).png, datasize: 3456.0, network3g:3 , method: def1, energy: CPU_EC: 34277 Wifi_EC: 89214Total: 123491
FileName: images (2).jpeg, datasize: 9492.0, network3g:3 , method: def1, energy: CPU_EC: 34311 Wifi_EC: 89563Total: 123874
FileName: images (3).jpeg, datasize: 9123.0, network3g:3 , method: def1, energy: CPU_EC: 34331 Wifi_EC: 90261Total: 124592
FileName: images (4).jpeg, datasize: 5917.0, network3g:3 , method: def1, energy: CPU_EC: 34372 Wifi_EC: 90610Total: 124982
FileName: images (5).jpeg, datasize: 8324.0, network3g:3 , method: def1, energy: CPU_EC: 34392 Wifi_EC: 90959Total: 125351
FileName: jeju_3.bmp, datasize: 316554.0, network3g:3 , method: def1, energy: CPU_EC: 34583 Wifi_EC: 91305Total: 125888
FileName: logo.png, datasize: 2862269.0, network3g:3 , method: def1, energy: CPU_EC: 35348 Wifi_EC: 91958Total: 127306
FileName: mepis-wallpaper-blue-sky.gif, datasize: 153085.0, network3g:3 , method: def1, energy: CPU_EC: 35449 Wifi_EC: 92305Total: 127754
FileName: Mountain-PNG-File.png, datasize: 2515774.0, network3g:3 , method: def1, energy: CPU_EC: 35882 Wifi_EC: 92964Total: 128846
FileName: mountain-rang.png, datasize: 623010.0, network3g:3 , method: def1, energy: CPU_EC: 36116 Wifi_EC: 93653Total: 129769
FileName: mountain5.png, datasize: 2912831.0, network3g:3 , method: def1, energy: CPU_EC: 36549 Wifi_EC: 94654Total: 131203
FileName: ocean-009.jpg, datasize: 715404.0, network3g:3 , method: def1, energy: CPU_EC: 36809 Wifi_EC: 94994Total: 131803
FileName: peaceful-ocean.png, datasize: 255678.0, network3g:3 , method: def1, energy: CPU_EC: 37014 Wifi_EC: 95339Total: 132353
FileName: pexels-photo-26851-medium.jpg, datasize: 51424.0, network3g:3 , method: def1, energy: CPU_EC: 37061 Wifi_EC: 95688Total: 132749
FileName: pexels-photo-26890-medium.jpg, datasize: 51056.0, network3g:3 , method: def1, energy: CPU_EC: 37129 Wifi_EC: 96037Total: 133166
FileName: pexels-photo-26933-medium.jpg, datasize: 31604.0, network3g:3 , method: def1, energy: CPU_EC: 37176 Wifi_EC: 96386Total: 133562
FileName: pexels-photo-27111-medium.jpg, datasize: 42924.0, network3g:3 , method: def1, energy: CPU_EC: 37217 Wifi_EC: 96735Total: 133952
FileName: pexels-photo-27403-medium.jpg, datasize: 82179.0, network3g:3 , method: def1, energy: CPU_EC: 37299 Wifi_EC: 97083Total: 134382
